Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
59477670,11/17/2023 08:42:00 AM,11/17/2023 10:40:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Operating Improperly,,11422,,,,,MERRICK BOULEVARD,LAURELTON PARKWAY,INTERSECTION,QUEENS,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/17/2023 10:40:00 AM,13 QUEENS,31,Precinct 105,,QUEENS,1057739,184942,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.67399479035115,-73.73506838631045,POINT (-73.73506838631 40.673994790351)
59484051,11/18/2023 11:02:46 AM,11/20/2023 04:43:47 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,N/A,Street,10459,1084 HOME STREET,HOME STREET,LONGFELLOW AVENUE,WESTCHESTER AVENUE,LONGFELLOW AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,HOME STREET,,Closed,,"The Department of Transportation inspected the condition, sent notice to responsible party, and temporary repairs were made to make the area safe.",11/20/2023 04:43:53 AM,03 BRONX,17,Precinct 42,2027580029,BRONX,1015553,240905,PHONE,Unspecified,BRONX,,,,,,,,40.82784859417596,-73.88689028901551,POINT (-73.886890289016 40.827848594176)
59476948,11/17/2023 09:32:30 AM,11/20/2023 06:20:23 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Payment by Card,Street,10461,MORRIS PARK AVENUE,MORRIS PARK AVENUE,PAULDING AVENUE,DANIEL C CESTARO WAY,PAULDING AVENUE,DANIEL C CESTARO WAY,BLOCKFACE,,,,Closed,,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,11/20/2023 06:20:28 AM,Unspecified BRONX,,Precinct 49,,BRONX,1024371,248475,ONLINE,Unspecified,BRONX,,,,,,,,40.84859036430189,-73.85498225080997,POINT (-73.85498225081 40.848590364302)
59490428,11/18/2023 10:51:56 PM,11/19/2023 07:45:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,,11236,,,,,AVENUE D,EAST 94 STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,11/19/2023 07:45:00 PM,18 BROOKLYN,42,Precinct 69,,BROOKLYN,1009224,175502,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64835389063085,-73.91000217086506,POINT (-73.910002170865 40.648353890631)
59475834,11/17/2023 03:53:28 PM,12/08/2023 08:57:41 AM,DOT,Department of Transportation,Street Condition,Failed Street Repair,N/A,Street,11375,KESSEL STREET,KESSEL STREET,68 AVENUE,69 AVENUE,68 AVENUE,69 AVENUE,BLOCKFACE,,,,Closed,,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,12/08/2023 08:57:47 AM,Unspecified QUEENS,,Precinct 112,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
59480885,11/17/2023 05:55:27 PM,11/29/2023 03:23:12 PM,DOT,Department of Transportation,Outdoor Dining,Sidewalk Zone Blocked,Pedestrian Path Less Than 8 Feet,Sidewalk,10014,420 HUDSON STREET,HUDSON STREET,LEROY STREET,MORTON STREET,LEROY STREET,MORTON STREET,ADDRESS,NEW YORK,HUDSON STREET,,Closed,,"The Department of Transportation's inspectors could not find the condition you reported. If you would like to pursue the complaint, please check the address and submit a new Service Request.",11/29/2023 03:23:20 PM,02 MANHATTAN,03,Precinct 6,1005830001,MANHATTAN,982363,205394,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73043556089301,-74.0068084832097,POINT (-74.00680848321 40.730435560893)
59482981,11/18/2023 12:12:35 PM,11/20/2023 07:57:31 AM,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,N/A,Street,10461,3092 MIDDLETOWN ROAD,MIDDLETOWN ROAD,WATERSTONE DRIVE,PARKVIEW AVENUE,WATERSTONE DRIVE,PARKVIEW AVENUE,ADDRESS,BRONX,MIDDLETOWN ROAD,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",11/20/2023 07:57:37 AM,10 BRONX,13,Precinct 45,2054040244,BRONX,1032088,247153,MOBILE,Unspecified,BRONX,,,,,,,,40.84492343314111,-73.82709857666944,POINT (-73.827098576669 40.844923433141)
59489502,11/20/2023 12:37:00 AM,04/09/2024 02:22:00 PM,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,Location Type: Intersection,,11207,1567 BUSHWICK AVENUE,BUSHWICK AVENUE,DE SALES PL,EASTERN PKWY,BUSHWICK AVENUE,VANDERVEER STREET,INTERSECTION,BROOKLYN,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,12/05/2023 01:48:00 PM,04 BROOKLYN,37,Precinct 83,3034710006,BROOKLYN,1010844,187585,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.681514308298716,-73.90411658267415,POINT (-73.904116582674 40.681514308299)
59484062,11/18/2023 02:48:32 PM,11/20/2023 03:02:46 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,N/A,Street,10022,LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   53 STREET,EAST   54 STREET,EAST   53 STREET,EAST   54 STREET,BLOCKFACE,,,,Closed,,This request required re-assignment to a new DOT unit.,11/20/2023 03:03:03 AM,Unspecified MANHATTAN,,Precinct 18,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,
59480168,11/16/2023 01:11:15 AM,11/17/2023 07:10:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,,10001,WEST   35 STREET,WEST   35 STREET,5 AVENUE,6 AVENUE,,,BLOCKFACE,MANHATTAN,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,11/17/2023 07:10:00 PM,05 MANHATTAN,,Precinct 14,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
59486081,11/18/2023 02:47:13 PM,12/01/2023 11:56:21 AM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,City-Owned,Sidewalk,11004,256-04 UNION TURNPIKE,UNION TURNPIKE,256 STREET,257 STREET,256 STREET,257 STREET,ADDRESS,GLEN OAKS,UNION TURNPIKE,,Closed,,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",12/01/2023 11:56:26 AM,13 QUEENS,23,Precinct 105,4086930010,QUEENS,1063211,210970,ONLINE,Unspecified,QUEENS,,,,,,,,40.74538798026547,-73.7150364341166,POINT (-73.715036434117 40.745387980265)
59488513,11/18/2023 04:53:00 PM,11/22/2023 12:56:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,Location Type: Intersection,,11421,87-88 97 STREET,97 STREET,89 AVE,JAMAICA AVE,97 STREET,89 AVENUE,INTERSECTION,QUEENS,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/22/2023 12:56:00 PM,09 QUEENS,32,Precinct 102,4089370050,QUEENS,1026544,191507,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69221819078022,-73.84748644374645,POINT (-73.847486443746 40.69221819078)
59485115,11/18/2023 02:50:49 PM,11/20/2023 03:44:42 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,N/A,Street,10075,EAST   77 STREET,EAST   77 STREET,EAST   77 STREET,LEXINGTON AVENUE,EAST   77 STREET,LEXINGTON AVENUE,INTERSECTION,,,,Closed,,This request required re-assignment to a new DOT unit.,11/20/2023 03:44:56 PM,08 MANHATTAN,04,Precinct 19,,MANHATTAN,995369,221138,PHONE,Unspecified,MANHATTAN,,,,,,,,40.77364206279381,-73.9598555143181,POINT (-73.959855514318 40.773642062794)
59486080,11/18/2023 10:13:47 AM,11/28/2023 11:33:43 AM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,4 + Residential Units/Commercial,Sidewalk,11106,32-85 34 STREET,34 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,34 STREET,,Closed,,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",11/28/2023 11:33:46 AM,01 QUEENS,22,Precinct 114,4006220003,QUEENS,1005480,216312,MOBILE,Unspecified,QUEENS,,,,,,,,40.760377447465814,-73.92336561001105,POINT (-73.923365610011 40.760377447466)
59476415,11/17/2023 04:54:00 AM,11/21/2023 07:34:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,Location Type: Intersection,,10305,74 OCEAN AVENUE,OCEAN AVENUE,CEDAR AVE,GUILFORD ST,OCEAN AVENUE,GUILFORD STREET,INTERSECTION,STATEN ISLAND,,,Closed,,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",11/21/2023 07:34:00 AM,02 STATEN ISLAND,50,Precinct 122,5031200050,STATEN ISLAND,966602,156488,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.596182075854465,-74.06354771197412,POINT (-74.063547711974 40.596182075854)
59490016,11/19/2023 11:07:36 PM,11/20/2023 12:40:22 PM,DOT,Department of Transportation,Street Condition,Cave-in,N/A,Street,10469,2535 FENTON AVENUE,FENTON AVENUE,MACE AVENUE,ALLERTON AVENUE,MACE AVENUE,ALLERTON AVENUE,ADDRESS,BRONX,FENTON AVENUE,,Closed,,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,11/20/2023 12:40:26 PM,11 BRONX,13,Precinct 49,2044760069,BRONX,1027280,253892,ONLINE,Unspecified,BRONX,,,,,,,,40.863444690121774,-73.84443289060644,POINT (-73.844432890606 40.863444690122)
59485506,11/18/2023 10:38:00 AM,11/27/2023 09:12:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,Location Type: Intersection,,11233,281 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,DECATUR ST,MAC DONOUGH ST,MALCOLM X BOULEVARD,MAC DONOUGH STREET,INTERSECTION,BROOKLYN,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/27/2023 09:12:00 AM,03 BROOKLYN,36,Precinct 81,3016770008,BROOKLYN,1003940,188011,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68270163100842,-73.92900737266017,POINT (-73.92900737266 40.682701631008)
59490023,11/19/2023 05:16:34 PM,11/22/2023 03:41:27 PM,DOT,Department of Transportation,Street Sign - Dangling,Stop,N/A,Street,11357,22 AVENUE,22 AVENUE,22 AVENUE,146 STREET,22 AVENUE,146 STREET,INTERSECTION,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,11/22/2023 03:41:31 PM,07 QUEENS,19,Precinct 109,,QUEENS,1033735,223287,ONLINE,Unspecified,QUEENS,,,,,,,,40.77940897138895,-73.82132177084829,POINT (-73.821321770848 40.779408971389)
59487487,11/18/2023 10:23:00 AM,11/18/2023 11:25:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Operating Improperly,,11215,,,,,6 AVENUE,15 STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2023 11:25:00 AM,06 BROOKLYN,39,Precinct 78,,BROOKLYN,987870,181345,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.66442611865891,-73.98695160627513,POINT (-73.986951606275 40.664426118659)
59484539,11/18/2023 09:17:00 AM,11/18/2023 10:05:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Operating Improperly,,10031,,,,,AMSTERDAM AVENUE,WEST 138 STREET,INTERSECTION,MANHATTAN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2023 10:05:00 AM,09 MANHATTAN,07,Precinct 26,,MANHATTAN,997860,238331,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82082868072917,-73.95082706368065,POINT (-73.950827063681 40.820828680729)
59489501,11/19/2023 02:40:00 PM,02/04/2025 09:27:00 AM,DOT,Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Missing,Location Type: Intersection,,11427,,,,,218 STREET,HILLSIDE AVENUE,INTERSECTION,QUEENS,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/22/2023 03:27:00 PM,13 QUEENS,23,Precinct 105,,QUEENS,1054412,204789,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.72849692299869,-73.74685555571364,POINT (-73.746855555714 40.728496922999)
59489066,11/18/2023 01:51:51 PM,11/21/2023 04:20:48 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,N/A,Street,10016,2 AVENUE,2 AVENUE,2 AVENUE,EAST   34 STREET,2 AVENUE,EAST   34 STREET,INTERSECTION,,,,Closed,,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",11/21/2023 04:20:52 PM,06 MANHATTAN,04,Precinct 17,,MANHATTAN,990933,210621,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74478005822341,-73.9758818809488,POINT (-73.975881880949 40.744780058223)
59486079,11/18/2023 11:12:15 PM,11/28/2023 01:34:47 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,4 + Residential Units/Commercial,Sidewalk,10306,20 HEMPSTEAD AVENUE,HEMPSTEAD AVENUE,OLYMPIA BOULEVARD,COLONY AVENUE,OLYMPIA BOULEVARD,COLONY AVENUE,ADDRESS,STATEN ISLAND,HEMPSTEAD AVENUE,,Closed,,The request submitted did not have sufficient information for the Department of Transportation to respond.,11/28/2023 01:34:50 PM,02 STATEN ISLAND,50,Precinct 122,,STATEN ISLAND,958499,148053,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.573009849984,-74.09269320030742,POINT (-74.092693200307 40.573009849984)
59490008,11/19/2023 08:00:16 PM,12/01/2023 12:17:09 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,4 + Residential Units/Commercial,Sidewalk,11415,84-47 118 STREET,118 STREET,84 AVENUE,85 AVENUE,84 AVENUE,85 AVENUE,ADDRESS,KEW GARDENS,118 STREET,,Closed,,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",12/01/2023 12:17:13 PM,09 QUEENS,29,Precinct 102,4092340034,QUEENS,1030463,195550,ONLINE,Unspecified,QUEENS,,,,,,,,40.703295668130146,-73.83332669326022,POINT (-73.83332669326 40.70329566813)
59477102,11/17/2023 06:12:52 PM,11/29/2023 11:31:17 AM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk Violation Inquiry,Sidewalk,10462,1828 DELANCEY PLACE,DELANCEY PLACE,MORRIS PARK AVENUE,BEND,MORRIS PARK AVENUE,BEND,ADDRESS,BRONX,DELANCEY PLACE,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",11/29/2023 11:31:22 AM,11 BRONX,13,Precinct 49,2040560014,BRONX,1022788,247926,PHONE,Unspecified,BRONX,,,,,,,,40.84709057412923,-73.86070716547812,POINT (-73.860707165478 40.847090574129)
59488516,11/18/2023 10:13:00 AM,11/18/2023 11:25:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Operating Improperly,,10460,,,,,CROSS BX EXPRESSWAY,TAYLOR AVENUE,INTERSECTION,BRONX,,N/A,Assigned,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2023 11:25:00 AM,09 BRONX,18,Precinct 43,,BRONX,1021336,243593,UNKNOWN,Unspecified,BRONX,,,,,,,,40.835203984799826,-73.86597926814875,POINT (-73.865979268149 40.8352039848)
45293649,01/02/2020 06:15:00 PM,10/19/2020 09:42:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,Location Type: Intersection,,,,,,,,,INTERSECTION,,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,10/19/2020 09:42:00 AM,,,Unspecified,,,,,UNKNOWN,Unspecified,,,,,,,,,,,
59485500,11/17/2023 02:45:07 PM,11/18/2023 10:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,10036,7 AVENUE,7 AVENUE,WEST   41 STREET,WEST   42 STREET,,,BLOCKFACE,MANHATTAN,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,11/18/2023 10:30:00 AM,05 MANHATTAN,,Precinct 14,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
59484282,11/18/2023 04:43:00 PM,11/18/2023 05:40:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,Operating Improperly,,11221,,,,,BUSHWICK AVENUE,DE KALB AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2023 05:40:00 PM,04 BROOKLYN,34,Precinct 83,,BROOKLYN,1004096,192566,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.695203706531906,-73.92843149428856,POINT (-73.928431494289 40.695203706532)
59485946,11/18/2023 08:50:35 PM,11/20/2023 08:20:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,10128,,,,,EAST 90 STREET,YORK AVENUE,INTERSECTION,MANHATTAN,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,11/20/2023 08:20:00 AM,08 MANHATTAN,05,Precinct 19,,MANHATTAN,999412,222905,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.77848600219572,-73.94525452040779,POINT (-73.945254520408 40.778486002196)
59475157,11/17/2023 07:04:00 AM,11/30/2023 01:20:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Steady,,10456,,,,,GRAND CONCOURSE,EAST 170 STREET,INTERSECTION,BRONX,,N/A,Closed,,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",11/30/2023 01:20:00 PM,04 BRONX,14,Precinct 44,,BRONX,1008110,244858,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83872167806522,-73.91377061389227,POINT (-73.913770613892 40.838721678065)
59478322,11/17/2023 05:03:00 PM,11/21/2023 11:21:52 AM,DOT,Department of Transportation,Sidewalk Condition,Pedestrian Ramp Defective,N/A,Sidewalk,10033,21 BENNETT AVENUE,BENNETT AVENUE,WEST  181 STREET,WEST  184 STREET,WEST  181 STREET,WEST  184 STREET,ADDRESS,NEW YORK,BENNETT AVENUE,,Closed,,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.,11/21/2023 11:21:58 AM,12 MANHATTAN,10,Precinct 34,1021800096,MANHATTAN,1001858,249341,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85104087315475,-73.93635338951239,POINT (-73.936353389512 40.851040873155)
59490012,11/19/2023 09:02:33 AM,11/29/2023 09:21:30 AM,DOT,Department of Transportation,Street Condition,Blocked - Construction,N/A,Street,11420,132-07 115 AVENUE,115 AVENUE,132 STREET,133 STREET,132 STREET,133 STREET,ADDRESS,SOUTH OZONE PARK,115 AVENUE,,Closed,,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",11/29/2023 09:21:33 AM,10 QUEENS,28,Precinct 106,4116580042,QUEENS,1037292,187112,ONLINE,Unspecified,QUEENS,,,,,,,,40.68009706099228,-73.8087635120054,POINT (-73.808763512005 40.680097060992)
59488512,11/18/2023 08:37:00 PM,11/28/2023 08:52:00 AM,DOT,Department of Transportation,Street Light Condition,Lamppost Damaged,Location Type: Intersection,,11223,2326 EAST    5 STREET,EAST    5 STREET,AVE W,GRAVESEND NECK RD,EAST 5 STREET,AVENUE W,INTERSECTION,BROOKLYN,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/28/2023 08:52:00 AM,15 BROOKLYN,47,Precinct 61,3071560040,BROOKLYN,993694,155388,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.59317533636156,-73.96599515349115,POINT (-73.965995153491 40.593175336362)
